2026-08-10	P01 Test FTP 20min	S1 Base
2026-08-13	P16 Recup Z1 1h	S1 Base
2026-08-15	P17 Ventoux depuis Bedoin	S1 Base
2026-08-18	P03 Sweet Spot 3x15	S2 Base
2026-08-20	P02 Sweet Spot 2x15	S2 Base
2026-08-22	P15 Endurance Z2 2h	S2 Base
2026-08-25	P03 Sweet Spot 3x15	S3 Base
2026-08-27	P04 Sweet Spot 2x20	S3 Base
2026-08-29	P15 Endurance Z2 2h	S3 Base
2026-09-01	P05 Sweet Spot 1x20 leger	S4 Recup
2026-09-03	P16 Recup Z1 1h	S4 Recup
2026-09-05	Sortie libre souple 1h30	S4 Recup
2026-09-08	P06 Seuil 3x10	S5 Seuil
2026-09-10	P04 Sweet Spot 2x20	S5 Seuil
2026-09-12	P15 Endurance Z2 2h	S5 Seuil
2026-09-15	P07 Seuil 2x15	S6 Seuil
2026-09-17	P04 Sweet Spot 2x20	S6 Seuil
2026-09-19	P15 Endurance Z2 2h	S6 Seuil
2026-09-22	P08 Seuil 3x12	S7 Seuil
2026-09-24	P09 Over-Unders 3x9	S7 Seuil
2026-09-26	P15 Endurance Z2 2h	S7 Seuil
2026-09-29	P05 Sweet Spot 1x20 leger	S8 Recup
2026-10-01	P16 Recup Z1 1h	S8 Recup
2026-10-03	Sortie libre souple 1h30	S8 Recup
2026-10-06	P10 VO2max 5x3	S9 VO2max
2026-10-08	P07 Seuil 2x15	S9 VO2max
2026-10-10	P15 Endurance Z2 2h	S9 VO2max
2026-10-13	P11 VO2max 6x3	S10 VO2max
2026-10-15	P04 Sweet Spot 2x20	S10 VO2max
2026-10-17	P15 Endurance Z2 2h	S10 VO2max
2026-10-20	P12 VO2max 4x4	S11 VO2max
2026-10-22	P13 VO2max 30-30 2x10	S11 VO2max
2026-10-24	P15 Endurance Z2 2h	S11 VO2max
2026-10-27	P14 VO2max 3x3 rappel	S12 Affutage
2026-10-29	P01 Retest FTP 20min	S12 Affutage
2026-10-31	P16 Recup Z1 1h	S12 Affutage
